frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
11,  0,  0.417,  0.98,  1, 0.06, 0.17, 0.19, 0.05, 0.69, 0.00, 0.00, 1.05, 0.04, 0.33, 0.51, 0.74, 0.00, 0.00, 0.00, 0.00, 0.13, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
12,  0,  0.459,  0.98,  1, 0.08, 0.25, 0.27, 0.05, 0.69, 0.00, 0.00, 0.98, 0.02, 0.16, 0.37, 0.53, 0.00, 0.00, 0.00, 0.00, 0.25, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
13,  0,  0.500,  0.98,  1, 0.17, 0.26, 0.39, 0.01, 0.65, 0.00, 0.00, 1.03, 0.02, 0.21, 0.51, 0.50, 0.00, 0.00, 0.00, 0.00, 0.23, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
14,  0,  0.542,  0.98,  1, 0.28, 0.33, 0.51, 0.00, 0.64, 0.00, 0.00, 1.11, 0.02, 0.37, 0.63, 0.54, 0.00, 0.00, 0.00, 0.00, 0.12, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
15,  0,  0.584,  0.98,  1, 0.40, 0.24, 0.51, 0.00, 0.57, 0.00, 0.00, 1.20, 0.00, 0.49, 0.72, 0.62, 0.00, 0.00, 0.00, 0.00, 0.09, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
16,  0,  0.626,  0.98,  1, 0.31, 0.13, 0.35, 0.00, 0.55, 0.00, 0.00, 1.09, 0.00, 0.37, 0.68, 0.65, 0.00, 0.00, 0.01, 0.00, 0.13, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
17,  0,  0.667,  0.98,  1, 0.23, 0.00, 0.22, 0.02, 0.52, 0.00, 0.00, 0.98, 0.00, 0.28, 0.66, 0.67, 0.00, 0.00, 0.01, 0.00, 0.16, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
18,  0,  0.709,  0.98,  1, 0.10, 0.00, 0.14, 0.02, 0.55, 0.00, 0.00, 0.78, 0.01, 0.31, 0.82, 0.66, 0.00, 0.00, 0.01, 0.00, 0.08, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
19,  0,  0.751,  0.98,  1, 0.12, 0.00, 0.09, 0.09, 0.58, 0.00, 0.00, 0.74, 0.02, 0.24, 0.81, 0.60, 0.00, 0.00, 0.00, 0.00, 0.03, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
20,  0,  0.792,  0.98,  1, 0.12, 0.00, 0.02, 0.14, 0.63, 0.00, 0.00, 0.70, 0.04, 0.16, 0.87, 0.55, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
21,  0,  0.834,  0.98,  1, 0.17, 0.10, 0.01, 0.14, 0.65, 0.00, 0.00, 0.72, 0.03, 0.00, 0.79, 0.47, 0.00, 0.00, 0.00, 0.00, 0.01, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
22,  0,  0.876,  0.98,  1, 0.17, 0.17, 0.00, 0.06, 0.62, 0.00, 0.00, 0.74, 0.02, 0.00, 0.84, 0.43, 0.00, 0.00, 0.00, 0.00, 0.05, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
23,  0,  0.918,  0.98,  1, 0.18, 0.38, 0.02, 0.00, 0.59, 0.00, 0.00, 0.54, 0.00, 0.00, 0.63, 0.42, 0.01, 0.00, 0.00, 0.00, 0.11, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
24,  0,  0.959,  0.98,  1, 0.16, 0.43, 0.02, 0.00, 0.53, 0.00, 0.00, 0.38, 0.02, 0.00, 0.41, 0.30, 0.06, 0.00, 0.00, 0.00, 0.12, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
25,  0,  1.001,  0.98,  1, 0.11, 0.45, 0.04, 0.00, 0.47, 0.00, 0.00, 0.19, 0.03, 0.00, 0.18, 0.20, 0.07, 0.00, 0.00, 0.00, 0.12, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
26,  0,  1.043,  0.98,  1, 0.12, 0.44, 0.04, 0.00, 0.42, 0.00, 0.00, 0.37, 0.03, 0.08, 0.33, 0.27, 0.07, 0.00, 0.00, 0.00, 0.07, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
27,  0,  1.084,  0.98,  1, 0.11, 0.34, 0.07, 0.00, 0.40, 0.00, 0.00, 0.50, 0.02, 0.08, 0.45, 0.40, 0.01, 0.00, 0.00, 0.00, 0.05, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
28,  0,  1.126,  0.98,  1, 0.15, 0.30, 0.08, 0.00, 0.40, 0.00, 0.00, 0.64, 0.00, 0.08, 0.59, 0.52, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
29,  0,  1.168,  0.98,  1, 0.13, 0.11, 0.06, 0.00, 0.38, 0.00, 0.00, 0.54, 0.00, 0.07, 0.46, 0.42, 0.00, 0.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
30,  0,  1.210,  0.98,  1, 0.15, 0.07, 0.03, 0.00, 0.38, 0.00, 0.00, 0.52, 0.01, 0.18, 0.41, 0.37, 0.00, 0.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
31,  0,  1.251,  0.98,  1, 0.15, 0.02, 0.04, 0.00, 0.39, 0.00, 0.00, 0.57, 0.01, 0.18, 0.41, 0.39, 0.00, 0.01, 0.00, 0.00, 0.03, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
32,  0,  1.293,  0.98,  1, 0.16, 0.05, 0.04, 0.00, 0.41, 0.00, 0.00, 0.71, 0.01, 0.11, 0.60, 0.52, 0.00, 0.02, 0.00, 0.00, 0.15, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
33,  0,  1.335,  0.98,  1, 0.18, 0.16, 0.04, 0.00, 0.40, 0.00, 0.00, 0.74, 0.01, 0.00, 0.66, 0.66, 0.00, 0.04, 0.00, 0.00, 0.31, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
34,  0,  1.376,  0.98,  1, 0.14, 0.24, 0.00, 0.00, 0.38, 0.00, 0.00, 0.57, 0.00, 0.01, 0.66, 0.75, 0.00, 0.04, 0.00, 0.00, 0.28, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
35,  0,  1.418,  0.98,  1, 0.16, 0.19, 0.00, 0.00, 0.42, 0.00, 0.00, 0.50, 0.00, 0.02, 0.53, 0.68, 0.00, 0.02, 0.00, 0.00, 0.15, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
36,  0,  1.460,  0.98,  1, 0.19, 0.09, 0.00, 0.00, 0.44, 0.00, 0.00, 0.49, 0.00, 0.02, 0.51, 0.60, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
37,  0,  1.502,  0.98,  1, 0.27, 0.20, 0.01, 0.00, 0.49, 0.00, 0.00, 0.59, 0.00, 0.01, 0.63, 0.55, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
38,  0,  1.543,  0.98,  1, 0.33, 0.29, 0.05, 0.00, 0.46, 0.00, 0.00, 0.60, 0.00, 0.00, 0.71, 0.57, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
39,  0,  1.585,  0.98,  1, 0.32, 0.31, 0.08, 0.00, 0.43, 0.00, 0.00, 0.56, 0.00, 0.00, 0.72, 0.58, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
40,  0,  1.627,  0.98,  1, 0.31, 0.12, 0.09, 0.00, 0.35, 0.00, 0.00, 0.47, 0.00, 0.03, 0.55, 0.58, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
41,  0,  1.668,  0.98,  1, 0.20, 0.03, 0.09, 0.00, 0.30, 0.00, 0.00, 0.31, 0.00, 0.02, 0.46, 0.54, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
42,  0,  1.710,  0.98,  1, 0.13, 0.03, 0.15, 0.00, 0.30, 0.00, 0.00, 0.31, 0.00, 0.02, 0.55, 0.54, 0.00, 0.05, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
43,  0,  1.752,  0.98,  1, 0.12, 0.03, 0.17, 0.00, 0.33, 0.00, 0.00, 0.33, 0.00, 0.11, 0.52, 0.52, 0.00, 0.05, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
44,  0,  1.793,  0.98,  1, 0.14, 0.03, 0.18, 0.00, 0.38, 0.00, 0.00, 0.38, 0.00, 0.22, 0.48, 0.55, 0.00, 0.05, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
45,  0,  1.835,  0.98,  1, 0.15, 0.03, 0.16, 0.00, 0.41, 0.00, 0.00, 0.45, 0.00, 0.22, 0.28, 0.56, 0.00, 0.03, 0.00, 0.00, 0.01, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
46,  0,  1.877,  0.98,  1, 0.16, 0.09, 0.13, 0.00, 0.41, 0.00, 0.00, 0.49, 0.00, 0.19, 0.30, 0.60, 0.00, 0.10, 0.00, 0.00, 0.01, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
47,  0,  1.919,  0.98,  1, 0.21, 0.17, 0.09, 0.00, 0.42, 0.00, 0.00, 0.53, 0.00, 0.19, 0.33, 0.61, 0.00, 0.15, 0.00, 0.00, 0.01, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
48,  0,  1.960,  0.98,  1, 0.16, 0.22, 0.01, 0.00, 0.41, 0.00, 0.00, 0.41, 0.00, 0.19, 0.46, 0.64, 0.00, 0.14, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
49,  0,  2.002,  0.98,  1, 0.09, 0.20, 0.00, 0.00, 0.40, 0.00, 0.00, 0.34, 0.00, 0.11, 0.56, 0.61, 0.00, 0.10, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
50,  0,  2.044,  0.98,  1, 0.01, 0.22, 0.00, 0.00, 0.41, 0.00, 0.00, 0.32, 0.00, 0.03, 0.66, 0.62, 0.00, 0.11, 0.00, 0.00, 0.03, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
51,  0,  2.085,  0.98,  1, 0.01, 0.14, 0.06, 0.00, 0.39, 0.00, 0.00, 0.32, 0.00, 0.05, 0.72, 0.59, 0.00, 0.09, 0.00, 0.00, 0.06, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
52,  0,  2.127,  0.98,  1, 0.03, 0.09, 0.11, 0.03, 0.39, 0.00, 0.00, 0.34, 0.00, 0.05, 0.74, 0.58, 0.00, 0.06, 0.00, 0.00, 0.11, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
53,  0,  2.169,  0.98,  1, 0.03, 0.01, 0.13, 0.03, 0.34, 0.00, 0.00, 0.38, 0.00, 0.05, 0.82, 0.53, 0.00, 0.01, 0.00, 0.00, 0.09, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
54,  0,  2.211,  0.98,  1, 0.02, 0.01, 0.10, 0.03, 0.29, 0.00, 0.00, 0.39, 0.00, 0.14, 0.77, 0.43, 0.00, 0.05, 0.00, 0.00, 0.06, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
55,  0,  2.252,  0.98,  1, 0.00, 0.00, 0.09, 0.00, 0.22, 0.00, 0.00, 0.41, 0.00, 0.25, 0.72, 0.29, 0.00, 0.09, 0.00, 0.00, 0.01, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
56,  0,  2.294,  0.98,  1, 0.05, 0.06, 0.07, 0.00, 0.23, 0.00, 0.00, 0.41, 0.00, 0.21, 0.49, 0.31, 0.00, 0.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
57,  0,  2.336,  0.98,  1, 0.07, 0.15, 0.04, 0.00, 0.28, 0.00, 0.00, 0.47, 0.00, 0.11, 0.39, 0.39, 0.00, 0.04, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
58,  0,  2.377,  0.98,  1, 0.13, 0.16, 0.00, 0.00, 0.37, 0.00, 0.00, 0.48, 0.00, 0.00, 0.28, 0.52, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
59,  0,  2.419,  0.98,  1, 0.12, 0.10, 0.00, 0.00, 0.33, 0.00, 0.00, 0.45, 0.00, 0.00, 0.20, 0.50, 0.00, 0.00, 0.00, 0.00, 0.11, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
60,  0,  2.461,  0.98,  1, 0.12, 0.09, 0.00, 0.00, 0.32, 0.00, 0.00, 0.41, 0.00, 0.00, 0.09, 0.53, 0.00, 0.00, 0.00, 0.00, 0.12, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
61,  0,  2.502,  0.98,  1, 0.20, 0.13, 0.00, 0.00, 0.29, 0.00, 0.00, 0.43, 0.00, 0.01, 0.31, 0.50, 0.00, 0.00, 0.00, 0.00, 0.12, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
62,  0,  2.544,  0.98,  1, 0.32, 0.29, 0.00, 0.06, 0.28, 0.00, 0.00, 0.41, 0.00, 0.01, 0.45, 0.52, 0.00, 0.03, 0.05, 0.00, 0.01, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
63,  0,  2.586,  0.98,  1, 0.45, 0.36, 0.00, 0.08, 0.25, 0.00, 0.00, 0.41, 0.00, 0.01, 0.62, 0.50, 0.00, 0.07, 0.05, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
64,  0,  2.628,  0.98,  1, 0.37, 0.35, 0.00, 0.08, 0.15, 0.00, 0.00, 0.26, 0.00, 0.00, 0.47, 0.49, 0.00, 0.07, 0.05, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
65,  0,  2.669,  0.98,  1, 0.26, 0.23, 0.00, 0.02, 0.10, 0.00, 0.00, 0.14, 0.00, 0.00, 0.48, 0.45, 0.00, 0.04, 0.01, 0.00, 0.02, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
66,  0,  2.711,  0.98,  1, 0.12, 0.08, 0.00, 0.00, 0.14, 0.00, 0.00, 0.11, 0.00, 0.00, 0.49, 0.44, 0.00, 0.00, 0.00, 0.00, 0.06, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
67,  0,  2.753,  0.98,  1, 0.06, 0.04, 0.01, 0.01, 0.18, 0.00, 0.00, 0.12, 0.00, 0.00, 0.49, 0.53, 0.00, 0.04, 0.00, 0.00, 0.06, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
68,  0,  2.794,  0.98,  1, 0.01, 0.00, 0.02, 0.01, 0.22, 0.00, 0.00, 0.13, 0.00, 0.00, 0.46, 0.60, 0.00, 0.09, 0.00, 0.00, 0.04, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
69,  0,  2.836,  0.98,  1, 0.08, 0.12, 0.02, 0.01, 0.18, 0.00, 0.00, 0.03, 0.00, 0.02, 0.54, 0.62, 0.00, 0.09, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
70,  0,  2.878,  0.98,  1, 0.16, 0.19, 0.00, 0.00, 0.18, 0.00, 0.00, 0.10, 0.00, 0.04, 0.62, 0.65, 0.00, 0.07, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
