frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.15, 0.00, 0.87, 0.74, 0.00, 0.00, 0.00, 0.16, 0.00, 1.20, 0.00, 0.00, 0.00, 0.00, 0.34, 0.00, 0.11, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2,  0,  0.061,  0.98,  1, 0.20, 0.00, 0.86, 0.69, 0.00, 0.00, 0.00, 0.11, 0.00, 1.23, 0.00, 0.00, 0.00, 0.00, 0.15, 0.01, 0.04, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3,  0,  0.121,  0.98,  1, 0.30, 0.00, 0.86, 0.69, 0.00, 0.00, 0.00, 0.06, 0.00, 1.17, 0.00, 0.00, 0.00, 0.00, 0.13, 0.05, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
4,  0,  0.182,  0.98,  1, 0.34, 0.00, 0.85, 0.57, 0.00, 0.00, 0.00, 0.03, 0.00, 1.06, 0.00, 0.00, 0.00, 0.00, 0.23, 0.09, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
5,  0,  0.243,  0.98,  1, 0.32, 0.00, 0.90, 0.37, 0.00, 0.05, 0.00, 0.05, 0.00, 1.06, 0.00, 0.00, 0.00, 0.00, 0.32, 0.08, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
6,  0,  0.303,  0.98,  1, 0.31, 0.00, 0.97, 0.25, 0.00, 0.07, 0.00, 0.11, 0.00, 1.09, 0.00, 0.00, 0.00, 0.00, 0.34, 0.04, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
7,  0,  0.364,  0.98,  1, 0.30, 0.00, 1.01, 0.28, 0.00, 0.09, 0.00, 0.17, 0.00, 1.12, 0.00, 0.00, 0.00, 0.00, 0.33, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8,  0,  0.425,  0.98,  1, 0.37, 0.00, 1.08, 0.33, 0.00, 0.05, 0.00, 0.15, 0.00, 1.11, 0.00, 0.00, 0.00, 0.00, 0.29, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
9,  0,  0.485,  0.98,  1, 0.34, 0.00, 1.16, 0.28, 0.00, 0.09, 0.01, 0.16, 0.00, 1.03, 0.00, 0.00, 0.00, 0.00, 0.23, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
10,  0,  0.546,  0.98,  1, 0.39, 0.00, 1.22, 0.36, 0.00, 0.31, 0.03, 0.20, 0.00, 0.91, 0.00, 0.00, 0.00, 0.00, 0.19, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
